Token,IOB2
Last,O
updated,O
on,O
November,O
1,O
,,O
2025,O
Mana,B-ARTIFACT
Crypt,I-ARTIFACT
Illustration,O
by,O
Dominik,O
Mayer,O
Artifacts,O
are,O
as,O
integral,O
to,O
Magic,O
as,O
creatures,O
and,O
lands,O
,,O
and,O
they,O
’,O
ve,O
been,O
around,O
since,O
the,O
beginning,O
.,O

They,O
’,O
re,O
essentials,O
in,O
every,O
new,O
Magic,O
set,O
,,O
sometimes,O
with,O
entire,O
planes,O
or,O
blocks,O
use,O
artifacts,O
as,O
a,O
central,O
theme,O
.,O

Mirrodin,O
block,O
,,O
Kaladesh,O
block,O
,,O
and,O
Antiquities,O
are,O
just,O
a,O
few,O
examples,O
of,O
sets,O
that,O
put,O
artifacts,O
front,O
and,O
center,O
.,O

They,O
also,O
are,O
a,O
driving,O
force,O
in,O
the,O
lore,O
.,O

Mirari,B-ARTIFACT
,,O
The,B-ARTIFACT
Immortal,I-ARTIFACT
Sun,I-ARTIFACT
,,O
Helvault,B-ARTIFACT
,,O
Legacy,B-ARTIFACT
Weapon,I-ARTIFACT
,,O
and,O
The,B-PLANESWALKER
Aetherspark,I-PLANESWALKER
…,O
the,O
list,O
continues,O
.,O

Feels,O
like,O
we,O
always,O
travel,O
to,O
new,O
planes,O
in,O
search,O
of,O
some,O
mystical,O
hunk,O
of,O
metal,O
that,O
turns,O
the,O
tides,O
of,O
whatever,O
multiversal,O
war,O
is,O
going,O
on,O
.,O

I,O
combed,O
through,O
thousands,O
of,O
artifacts,O
to,O
deliver,O
you,O
the,O
best,O
of,O
the,O
best,O
,,O
so,O
let,O
’,O
s,O
lay,O
down,O
some,O
ground,O
rules,O
and,O
get,O
to,O
it,O
.,O

What,O
Are,O
Artifacts,O
in,O
MTG,O
?,O
Mycosynth,B-ARTIFACT
Lattice,I-ARTIFACT
Illustration,O
by,O
Anthony,O
S.,O
Waters,O
Artifact,O
is,O
one,O
of,O
the,O
original,O
card,O
types,O
in,O
Magic,O
.,O

They,O
’,O
re,O
similar,O
to,O
enchantments,O
in,O
that,O
they,O
’,O
re,O
permanents,O
that,O
stay,O
on,O
the,O
battlefield,O
once,O
they,O
resolve,O
,,O
but,O
they,O
tend,O
to,O
have,O
a,O
different,O
flavor,O
and,O
purpose,O
than,O
enchantments,O
.,O

Artifacts,O
were,O
always,O
colorless,O
for,O
a,O
long,O
time,O
,,O
but,O
modern,O
Magic,O
allows,O
colored,O
mana,O
symbols,O
in,O
the,O
casting,O
costs,O
of,O
artifacts,O
.,O

They,O
also,O
have,O
several,O
common,O
subtypes,O
,,O
from,O
equipment,O
to,O
vehicles,O
,,O
and,O
it,O
’,O
s,O
often,O
used,O
as,O
the,O
card,O
type,O
for,O
tchotchke,O
tokens,O
like,O
Treasure,B-ARTIFACT
,,O
Food,B-ARTIFACT
,,O
and,O
Blood,B-ARTIFACT
.,O

To,O
keep,O
this,O
list,O
focused,O
on,O
the,O
absolute,O
best,O
of,O
the,O
best,O
,,O
I,O
pick,O
out,O
only,O
the,O
most,O
universally,O
powerful,O
artifacts,O
from,O
smaller,O
subsets,O
of,O
cards,O
.,O

You,O
could,O
write,O
entire,O
best-of,O
articles,O
for,O
constructs,O
,,O
equipment,O
,,O
mana,O
rocks,O
,,O
myr,O
,,O
thopters,O
,,O
and,O
so,O
on,O
(,O
and,O
we,O
have,O
!,O
),O
,,O
so,O
check,O
those,O
out,O
for,O
more,O
comprehensive,O
lists,O
of,O
those,O
individual,O
types,O
of,O
cards,O
.,O

Commander,O
is,O
the,O
focal,O
point,O
,,O
since,O
a,O
category,O
with,O
this,O
many,O
cards,O
needs,O
to,O
be,O
narrowed,O
down,O
to,O
avoid,O
weaving,O
in,O
between,O
too,O
many,O
different,O
formats,O
.,O

I,O
also,O
evaluate,O
cards,O
from,O
the,O
perspective,O
of,O
how,O
they,O
perform,O
in,O
modern,O
Magic,O
.,O

An,O
older,O
version,O
of,O
this,O
list,O
could,O
[,O
rightfully,O
],O
include,O
cards,O
like,O
Gilded,B-ARTIFACT
Lotus,I-ARTIFACT
,,O
Illusionist,B-ARTIFACT
's,I-ARTIFACT
Bracers,I-ARTIFACT
,,O
and,O
Primal,B-ARTIFACT
Amulet,I-ARTIFACT
,,O
which,O
still,O
very,O
much,O
have,O
a,O
home,O
in,O
Commander,O
,,O
but,O
they,O
no,O
longer,O
stand,O
up,O
to,O
the,O
best,O
of,O
the,O
best,O
artifacts,O
.,O

This,O
is,O
all,O
from,O
personal,O
perspective,O
,,O
so,O
I,O
’,O
ll,O
undoubtably,O
either,O
miss,O
one,O
of,O
your,O
favorites,O
or,O
leave,O
it,O
off,O
intentionally,O
.,O

Before,O
you,O
pick,O
up,O
the,O
banners,O
,,O
torches,O
and,O
pitchforks,O
,,O
join,O
me,O
in,O
the,O
comments,O
and,O
make,O
a,O
case,O
for,O
why,O
you,O
think,O
a,O
card,O
deserves,O
to,O
make,O
the,O
list,O
!,O
I,O
normally,O
wouldn,O
’,O
t,O
include,O
ban,O
list,O
cards,O
,,O
but,O
c,O
’,O
mon,O
,,O
I,O
can,O
’,O
t,O
leave,O
Black,B-ARTIFACT
Lotus,I-ARTIFACT
off,O
a,O
list,O
of,O
best,O
artifacts,O
,,O
can,O
I,O
?,O
I,O
evaluate,O
ban,O
list,O
cards,O
based,O
on,O
how,O
they,O
would,O
perform,O
if,O
they,O
were,O
legal,O
in,O
Commander,O
.,O

Final,O
note,O
,,O
I,O
’,O
m,O
intentionally,O
ignoring,O
cards,O
from,O
the,O
following,O
categories,O
:,O
#,O
100,O
.,O

Leveler,B-ARTIFACT
Just,O
kidding,O
.,O

Alright,O
,,O
let,O
's,O
quit,O
playing,O
around,O
with,O
weird,O
artifacts,O
,,O
we,O
’,O
ve,O
got,O
a,O
lotta,O
actually,O
good,O
cards,O
to,O
get,O
to,O
.,O
#,O
100,O
.,O

Ancestral,B-ARTIFACT
Statue,I-ARTIFACT
First,O
up,O
is,O
Ancestral,B-ARTIFACT
Statue,I-ARTIFACT
,,O
a,O
colorless,O
combo,O
piece,O
that,O
easily,O
facilitates,O
infinite,O
ETBs,O
.,O

It,O
’,O
s,O
most,O
commonly,O
used,O
with,O
Animar,B-ARTIFACT
,,I-ARTIFACT
Soul,I-ARTIFACT
of,I-ARTIFACT
Elements,I-ARTIFACT
,,O
Rakdos,B-ARTIFACT
,,I-ARTIFACT
Lord,I-ARTIFACT
of,I-ARTIFACT
Riots,I-ARTIFACT
,,O
and,O
other,O
cost,O
reduction,O
commanders,O
,,O
paired,O
with,O
ETB,O
payoffs,O
like,O
Impact,B-ENCHANTMENT
Tremors,O
.,O
#,O
99,O
.,O

The,B-ARTIFACT
Chain,I-ARTIFACT
Veil,I-ARTIFACT
One,O
of,O
the,O
earliest,O
planeswalker,O
payoffs,O
,,O
The,B-ARTIFACT
Chain,I-ARTIFACT
Veil,I-ARTIFACT
serves,O
one,O
of,O
two,O
purposes,O
.,O

Either,O
A,O
:,O
doubling,O
planeswalker,O
activations,O
,,O
as,O
intended,O
.,O

Or,O
B,O
:,O
going,O
infinite,O
with,O
‘,O
walkers,O
that,O
untap,O
permanents,O
.,O
#,O
98,O
.,O

Throne,B-ARTIFACT
of,I-ARTIFACT
the,I-ARTIFACT
God-Pharaoh,I-ARTIFACT
Throne,B-ARTIFACT
of,I-ARTIFACT
the,I-ARTIFACT
God-Pharaoh,I-ARTIFACT
provides,O
passive,O
direct,O
damage,O
for,O
decks,O
that,O
are,O
great,O
at,O
getting,O
their,O
own,O
creatures,O
tapped,O
.,O

Vehicles,O
can,O
help,O
you,O
side-step,O
combat,O
,,O
and,O
it,O
’,O
s,O
basically,O
a,O
2-mana,O
damage,O
doubler,O
for,O
a,O
board,O
full,O
of,O
1/1s,O
.,O
#,O
97,O
.,O

Steel,B-ARTIFACT
Hellkite,I-ARTIFACT
The,O
glory,O
days,O
may,O
be,O
gone,O
,,O
but,O
Steel,B-ARTIFACT
Hellkite,I-ARTIFACT
can,O
still,O
wreak,O
havoc,O
on,O
boards,O
,,O
especially,O
ones,O
populated,O
by,O
tokens,O
.,O

Apparently,O
,,O
this,O
card,O
had,O
firebreathing,O
the,O
entire,O
time,O
?,O
Who,O
knew,O
?,O
#,O
96,O
.,O

Altar,B-ARTIFACT
of,I-ARTIFACT
the,I-ARTIFACT
Brood,I-ARTIFACT
“,O
Altar,O
”,O
in,O
Magic,O
may,O
as,O
well,O
mean,O
“,O
infinite,O
combo.,O
”,O
Altar,B-ARTIFACT
of,I-ARTIFACT
the,I-ARTIFACT
Brood,I-ARTIFACT
turns,O
infinite,O
ETBs,O
into,O
infinite,O
mill,O
,,O
and,O
it,O
counts,O
any,O
type,O
of,O
permanent,O
entering,O
the,O
battlefield,O
.,O
#,O
95,O
.,O

Metalworker,B-ARTIFACT
Metalworker,B-ARTIFACT
’,O
s,O
an,O
artifact-matters,O
creature,O
that,O
can,O
effortlessly,O
tap,O
for,O
upwards,O
of,O
6,O
mana,O
.,O

That,O
makes,O
it,O
one,O
of,O
the,O
most,O
explosive,O
mana,O
dorks,O
in,O
Magic,O
,,O
though,O
a,O
$,O
100+,O
price,O
tag,O
means,O
you,O
don,O
’,O
t,O
see,O
it,O
at,O
tables,O
too,O
often,O
.,O
#,O
94,O
.,O

Mycosynth,B-ARTIFACT
Lattice,I-ARTIFACT
There,O
are,O
easier,O
ways,O
to,O
lock,O
players,O
out,O
of,O
a,O
game,O
,,O
but,O
Mycosynth,B-ARTIFACT
Lattice,I-ARTIFACT
does,O
the,O
trick,O
with,O
any,O
card,O
that,O
stops,O
activated,O
abilities,O
from,O
artifacts,O
.,O

Try,O
Karn,B-PLANESWALKER
,,I-PLANESWALKER
the,I-PLANESWALKER
Great,I-PLANESWALKER
Creator,I-PLANESWALKER
for,O
the,O
one-sided,O
version,O
,,O
or,O
Stony,B-ENCHANTMENT
Silence,I-ENCHANTMENT
to,O
get,O
in,O
on,O
the,O
[,O
in,O
],O
action,O
yourself,O
!,O
#,O
93,O
.,O

Vedalken,B-ARTIFACT
Orrery,I-ARTIFACT
Vedalken,B-ARTIFACT
Orrery,I-ARTIFACT
provides,O
an,O
effect,O
that,O
literally,O
any,O
deck,O
’,O
s,O
happy,O
to,O
have,O
,,O
but,O
it,O
’,O
s,O
just,O
hard,O
to,O
run,O
a,O
4-mana,O
“,O
do-nothing,O
”,O
and,O
hope,O
you,O
untap,O
with,O
it,O
unscathed,O
.,O

Maybe,O
cast,O
this,O
later,O
in,O
the,O
game,O
when,O
you,O
can,O
flash,O
something,O
in,O
to,O
protect,O
it,O
.,O
#,O
92,O
.,O

Staff,B-ARTIFACT
of,I-ARTIFACT
Domination,I-ARTIFACT
Dominant,O
no,O
more,O
,,O
my,O
friend,O
.,O

Staff,B-ARTIFACT
of,I-ARTIFACT
Domination,I-ARTIFACT
is,O
a,O
popular,O
infinite,O
mana,O
sink,O
,,O
but,O
it,O
’,O
s,O
not,O
really,O
used,O
for,O
its,O
random,O
utility,O
modes,O
anymore,O
.,O

Some,O
decks,O
are,O
interested,O
in,O
the,O
untap,O
effect,O
,,O
but,O
it,O
’,O
s,O
mainly,O
a,O
win-con,O
with,O
an,O
arbitrarily,O
large,O
amount,O
of,O
mana,O
.,O
#,O
91,O
.,O

Torpor,B-ARTIFACT
Orb,I-ARTIFACT
Torpor,B-ARTIFACT
Orb,I-ARTIFACT
’,O
s,O
effect,O
appears,O
on,O
multiple,O
different,O
cards,O
,,O
but,O
mostly,O
on,O
creatures,O
that,O
can,O
be,O
removed,O
easily,O
.,O

ETB/,O
flicker,O
decks,O
rely,O
on,O
their,O
creatures,O
to,O
deal,O
with,O
artifacts/enchantments,O
,,O
so,O
Torpor,B-ARTIFACT
Orb,I-ARTIFACT
could,O
lock,O
a,O
deck,O
like,O
that,O
out,O
of,O
the,O
game,O
.,O

Friendly,O
reminder,O
to,O
flicker,O
decks,O
everywhere,O
to,O
always,O
pack,O
a,O
few,O
instants,O
/,O
sorceries,O
to,O
deal,O
with,O
permanents,O
like,O
this,O
.,O
#,O
90,O
.,O

Thaumatic,B-ARTIFACT
Compass,I-ARTIFACT
/,I-ARTIFACT
Spires,I-ARTIFACT
of,I-ARTIFACT
Orazca,I-ARTIFACT
Half,I-ARTIFACT
Journeyer,B-ARTIFACT
's,I-ARTIFACT
Kite,I-ARTIFACT
,,O
half,O
Maze,B-LAND
of,I-LAND
Ith,I-LAND
,,O
Thaumatic,B-ARTIFACT
Compass,I-ARTIFACT
is,O
a,O
pet,O
card,O
that,O
asks,O
very,O
little,O
of,O
you,O
but,O
gives,O
you,O
plenty,O
of,O
utility,O
for,O
a,O
cheap,O
initial,O
investment,O
.,O

It,O
even,O
gets,O
you,O
out,O
of,O
early-game,O
mana,O
ruts,O
and,O
works,O
towards,O
its,O
own,O
goal,O
of,O
transforming,O
into,O
Spires,B-ARTIFACT
of,I-ARTIFACT
Orazca,I-ARTIFACT
.,O
#,O
89,O
.,O

Illustrious,B-CREATURE
Wanderglyph,I-CREATURE
Illustrious,B-CREATURE
Wanderglyph,I-CREATURE
repurposes,O
the,O
Tendershoot,B-CREATURE
Dryad,I-CREATURE
design,O
for,O
artifact,O
creatures,O
.,O

It,O
actually,O
ascends,O
to,O
be,O
better,O
than,O
its,O
inspiration,O
since,O
the,O
Tempered,B-ENCHANTMENT
Steel,I-ENCHANTMENT
effect,O
counts,O
all,O
your,O
other,O
artifact,O
creatures,O
,,O
not,O
just,O
the,O
Gnome,B-ARTIFACT
s,I-ARTIFACT
created,O
by,O
this,O
effect,O
.,O
#,O
88,O
.,O

Helm,B-ARTIFACT
of,I-ARTIFACT
the,I-ARTIFACT
Host,I-ARTIFACT
A,O
fan,O
favorite,O
,,O
but,O
a,O
citizen,O
of,O
Clunk,O
City,O
nonetheless,O
.,O

Players,O
love,O
Helm,B-ARTIFACT
of,I-ARTIFACT
the,I-ARTIFACT
Host,I-ARTIFACT
,,O
even,O
when,O
they,O
’,O
re,O
not,O
aiming,O
for,O
a,O
one-shot,O
kill,O
alongside,O
Godo,B-CREATURE
,,I-CREATURE
Bandit,I-CREATURE
Warlord,I-CREATURE
,,O
Combat,B-CREATURE
Celebrant,I-CREATURE
,,O
or,O
a,O
host,O
of,O
other,O
extra,O
combat,O
cards,O
.,O

Helm,O
’,O
s,O
incredibly,O
expensive,O
to,O
cast,O
and,O
equip,O
,,O
but,O
who,O
am,O
I,O
to,O
step,O
between,O
a,O
card,O
and,O
its,O
loyal,O
fanbase,O
?,O
#,O
87,O
.,O

Reckoner,B-ARTIFACT
Bankbuster,I-ARTIFACT
You,O
probably,O
know,O
Reckoner,B-ARTIFACT
Bankbuster,I-ARTIFACT
from,O
its,O
long,O
,,O
banworthy,O
stint,O
in,O
Standard,O
,,O
though,O
I,O
encourage,O
players,O
to,O
test,O
it,O
out,O
in,O
Commander,O
too,O
,,O
especially,O
in,O
decks,O
seeking,O
more,O
card,O
advantage,O
.,O

It,O
caps,O
out,O
at,O
three,O
cards,O
(,O
proliferate,O
,,O
anyone,O
?,O
),O
,,O
but,O
it,O
also,O
leaves,O
you,O
up,O
a,O
Treasure,B-ARTIFACT
,,O
a,O
1-Jan,O
token,O
,,O
and,O
a,O
4-Apr,O
vehicle,O
after,O
the,O
bank,O
heist,O
is,O
over,O
.,O
#,O
86,O
.,O

Myr,B-ARTIFACT
Battlesphere,I-ARTIFACT
Myr,B-ARTIFACT
Battlesphere,I-ARTIFACT
,,O
aka,O
“,O
Battleball,O
,,O
”,O
is,O
still,O
respectable,O
top-end,O
if,O
all,O
you,O
care,O
about,O
is,O
making,O
a,O
bunch,O
of,O
artifacts,O
.,O

The,O
attack,O
trigger,O
is,O
and,O
always,O
has,O
been,O
largely,O
forgettable,O
,,O
but,O
five,O
artifacts,O
for,O
7,O
mana,O
is,O
exactly,O
what,O
some,O
decks,O
want,O
.,O

Check,O
out,O
Threefold,B-ARTIFACT
Thunderhulk,I-ARTIFACT
as,O
a,O
slick,O
riff,O
on,O
Battleball,O
.,O
#,O
85,O
.,O

Mox,B-ARTIFACT
Jasper,I-ARTIFACT
Crazy,O
to,O
see,O
a,O
mox,O
ranked,O
this,O
low,O
.,O

A,O
lot,O
of,O
what,O
balances,O
Mox,B-ARTIFACT
Jasper,I-ARTIFACT
is,O
that,O
there,O
are,O
so,O
few,O
ways,O
to,O
control,O
a,O
dragon,O
creature,O
early,O
.,O

So,O
is,O
it,O
a,O
powerful,O
card,O
?,O
Absolutely,O
.,O

Do,O
you,O
need,O
to,O
add,O
dragons,O
to,O
your,O
cherrios,O
deck…,O
maybe,O
.,O
#,O
84,O
.,O

Cloudstone,B-ARTIFACT
Curio,I-ARTIFACT
Cloudstone,B-ARTIFACT
Curio,I-ARTIFACT
from,O
Ravnica,O
:,O
City,O
of,O
Guilds,O
is,O
another,O
infinite,O
combo,O
enabler,O
,,O
though,O
a,O
little,O
trickier,O
to,O
use,O
since,O
it,O
usually,O
requires,O
three,O
separate,O
cards,O
to,O
work,O
.,O

If,O
you,O
encounter,O
it,O
in,O
the,O
wild,O
,,O
you,O
should,O
definitely,O
destroy,O
this,O
artifact,O
if,O
given,O
the,O
chance,O
.,O
#,O
83,O
.,O

Thousand-Year,B-ARTIFACT
Elixir,I-ARTIFACT
Thousand-Year,B-ARTIFACT
Elixir,I-ARTIFACT
’,O
s,O
a,O
handy,O
tool,O
for,O
decks,O
full,O
of,O
creatures,O
with,O
tap,O
abilities,O
.,O

Think,O
Baba,B-CREATURE
Lysaga,I-CREATURE
,,I-CREATURE
Night,I-CREATURE
Witch,I-CREATURE
or,O
Inquisitor,B-CREATURE
Greyfax,I-CREATURE
.,O
#,O
82,O
.,O

Meteor,B-CREATURE
Golem,I-CREATURE
It,O
’,O
s,O
hard,O
work,O
,,O
but,O
it,O
’,O
s,O
an,O
honest,O
living,O
.,O

Meteor,B-CREATURE
Golem,I-CREATURE
’,O
s,O
inefficient,O
,,O
but,O
it,O
makes,O
for,O
a,O
great,O
flicker/,O
reanimate,O
target,O
and,O
gives,O
mono-black,O
decks,O
an,O
out,O
to,O
troublesome,O
permanents,O
.,O

I,O
haven,O
’,O
t,O
touched,O
Spine,B-ARTIFACT
of,I-ARTIFACT
Ish,I-ARTIFACT
Sah,I-ARTIFACT
since,O
Golem,B-CREATURE
was,O
printed,O
,,O
though,O
Spine,O
has,O
its,O
synergies,O
,,O
too,O
.,O
#,O
81,O
.,O

Embercleave,B-ARTIFACT
Believe,O
in,O
the,O
‘,O
Cleave,O
.,O

One,O
of,O
Magic,O
's,O
best,O
red,O
artifacts,O
,,O
Embercleave,B-ARTIFACT
can,O
usually,O
push,O
in,O
a,O
large,O
enough,O
attack,O
to,O
take,O
a,O
player,O
out,O
,,O
though,O
other,O
opponents,O
play,O
more,O
cautiously,O
after,O
that,O
point,O
.,O
#,O
80,O
.,O

Crucible,B-ARTIFACT
of,I-ARTIFACT
Worlds,I-ARTIFACT
Crucible,B-ARTIFACT
of,I-ARTIFACT
Worlds,I-ARTIFACT
holds,O
up,O
in,O
decks,O
that,O
regularly,O
need,O
to,O
replay,O
lands,O
from,O
their,O
graveyard,O
,,O
but,O
this,O
text,O
gets,O
tacked,O
onto,O
so,O
many,O
cards,O
these,O
days,O
that,O
it,O
’,O
s,O
no,O
longer,O
a,O
unique,O
effect,O
.,O
#,O
79,O
.,O

The,B-PLANESWALKER
Aetherspark,I-PLANESWALKER
The,B-PLANESWALKER
Aetherspark,I-PLANESWALKER
has,O
incredible,O
weight,O
in,O
the,O
lore,O
,,O
but,O
it,O
also,O
threatens,O
powerful,O
abilities,O
for,O
any,O
deck,O
that,O
can,O
use,O
it,O
.,O

The,O
loyalty,O
counters,O
can,O
really,O
skyrocket,O
if,O
you,O
deal,O
any,O
saboteur,O
damage,O
.,O

The,O
reward,O
is,O
good,O
card,O
draw,O
,,O
or,O
a,O
huge,O
burst,O
of,O
mana,O
.,O

Is,O
a,O
Slippery,B-CREATURE
Bogle,I-CREATURE
your,O
next,O
best,O
planeswalker,O
?,O
The,O
flexibility,O
to,O
put,O
the,O
Spark,O
on,O
any,O
creature,O
